;FAMI_ESTRATOVIVIENDA;ESTU_DEPTO_RESIDE;COLE_JORNADA;PUNT_SOCIALES_CIUDADANAS;PUNT_MATEMATICAS;PUNT_INGLES;PUNT_LECTURA_CRITICA;PUNT_C_NATURALES;PUNT_GLOBAL
79;Estrato 1;CHOCO;NOCHE;35.50769230769231;38.89230769230769;38.61538461538461;43.66153846153846;36.61538461538461;193.33846153846153
80;Estrato 1;CHOCO;SABATINA;38.833333333333336;42.333333333333336;36.75;43.583333333333336;36.75;200.41666666666666
81;Estrato 1;CHOCO;TARDE;40.80276816608997;44.94809688581315;43.18339100346021;46.30449826989619;41.49134948096886;216.84429065743944
82;Estrato 1;CHOCO;UNICA;41.62022900763359;44.95515267175573;42.837786259541986;46.55534351145038;42.337786259541986;218.9351145038168
83;Estrato 1;CORDOBA;COMPLETA;53.663438256658594;57.46731234866828;55.05326876513317;57.93462469733656;55.23728813559322;280.0
84;Estrato 1;CORDOBA;MAÑANA;45.80814339455632;49.70834255366231;45.66441690639522;51.26145164859482;48.01084310688206;242.31644169063952
85;Estrato 1;CORDOBA;NOCHE;37.63978494623656;40.615591397849464;38.284946236559136;43.634408602150536;39.266129032258064;200.65591397849462
86;Estrato 1;CORDOBA;SABATINA;39.09090909090909;41.483870967741936;40.09970674486804;45.50146627565982;40.54545454545455;207.7067448680352
87;Estrato 1;CORDOBA;TARDE;43.20009955201593;47.491786958685914;43.931309109009455;49.86709805873569;45.94673967147835;232.1075161772026
88;Estrato 1;CORDOBA;UNICA;46.80257639304973;50.860695026962254;45.88705811863391;51.9334931096465;48.79868184541642;246.5718993409227
89;Estrato 1;CUNDINAMARCA;COMPLETA;48.25125628140704;52.8070351758794;48.57989949748744;53.493467336683416;49.64422110552764;254.30050251256282
90;Estrato 1;CUNDINAMARCA;MAÑANA;46.472165549402504;51.21043427572136;46.10463421742932;51.987175750510055;48.326435441562225;246.18624307781988
91;Estrato 1;CUNDINAMARCA;NOCHE;40.58047016274865;42.54068716094032;40.44484629294756;45.9746835443038;41.69258589511754;212.61844484629296
92;Estrato 1;CUNDINAMARCA;SABATINA;39.47542627883651;42.64493480441324;39.29287863590773;44.949849548645936;41.46639919759278;209.57873620862588
93;Estrato 1;CUNDINAMARCA;TARDE;46.979757085020246;51.68623481781376;47.11538461538461;52.702429149797574;48.459514170040485;248.70445344129556
94;Estrato 1;CUNDINAMARCA;UNICA;47.25379779989523;52.05788370874804;45.67548454688318;51.82294394971189;48.59245678365637;248.01964379256154
95;Estrato 1;EXTRANJERO;UNICA;51.09090909090909;55.81818181818182;47.27272727272727;53.72727272727273;48.81818181818182;259.90909090909093
96;Estrato 1;GUAINIA;MAÑANA;45.2;48.89090909090909;45.61818181818182;49.836363636363636;46.96363636363636;237.8181818181818
97;Estrato 1;GUAINIA;NOCHE;48.25;50.5;41.25;49.0;45.25;238.5
98;Estrato 1;GUAINIA;SABATINA;38.6;44.266666666666666;40.0;45.8;40.0;209.93333333333334
99;Estrato 1;GUAINIA;UNICA;45.82608695652174;51.71739130434783;44.52173913043478;48.69565217391305;45.54347826086956;238.3913043478261
100;Estrato 1;GUAVIARE;COMPLETA;52.857142857142854;54.57142857142857;48.857142857142854;55.0;51.285714285714285;265.42857142857144
101;Estrato 1;GUAVIARE;MAÑANA;44.96100278551532;50.65459610027855;43.08635097493036;50.58217270194986;46.65181058495822;239.09470752089138
102;Estrato 1;GUAVIARE;NOCHE;41.0;44.6578947368421;39.39473684210526;46.26315789473684;42.63157894736842;216.55263157894737
103;Estrato 1;GUAVIARE;SABATINA;38.36734693877551;44.53061224489796;37.265306122448976;44.48979591836735;40.857142857142854;208.48979591836735
104;Estrato 1;GUAVIARE;UNICA;42.8;48.625;41.0125;46.9125;44.3;226.5125
105;Estrato 1;HUILA;COMPLETA;47.49382223993623;52.477481068154646;46.711040255081706;52.66600239139099;50.04543642885612;251.83140693503387
106;Estrato 1;HUILA;MAÑANA;49.471840984382396;54.36157122574539;48.692380501656416;54.60293421675343;51.62233790818741;261.09985802177
107;Estrato 1;HUILA;NOCHE;39.29809358752166;41.665511265164646;38.91334488734835;44.89601386481802;40.592720970537265;207.02772963604852
108;Estrato 1;HUILA;SABATINA;40.0481144343303;44.1183355006502;40.340702210663196;46.50065019505852;42.25227568270481;215.0481144343303
109;Estrato 1;HUILA;TARDE;51.12264150943396;55.8561320754717;50.698113207547166;55.81132075471698;53.214622641509436;268.73702830188677
110;Estrato 1;HUILA;UNICA;47.92742453436095;52.06229929351316;46.52665382145151;52.63134232498394;49.452151573538856;251.05651894669236
111;Estrato 1;LA GUAJIRA;COMPLETA;46.145077720207254;49.62176165803109;46.984455958549226;50.94818652849741;48.10362694300518;242.84455958549222
112;Estrato 1;LA GUAJIRA;MAÑANA;44.03258426966292;47.94213483146068;43.24325842696629;49.52078651685393;45.79775280898876;232.7443820224719
113;Estrato 1;LA GUAJIRA;NOCHE;37.63084112149533;40.13084112149533;37.717289719626166;42.80607476635514;38.75233644859813;198.34345794392524
114;Estrato 1;LA GUAJIRA;SABATINA;36.148148148148145;39.898148148148145;37.5462962962963;42.81481481481482;39.02777777777778;196.61111111111111
115;Estrato 1;LA GUAJIRA;TARDE;42.721311475409834;47.21967213114754;42.58360655737705;48.6327868852459;44.8;227.95409836065573
116;Estrato 1;LA GUAJIRA;UNICA;45.309287646528404;49.02434625788999;43.543733092876465;50.267808836789904;45.980162308385935;236.6483318304779
117;Estrato 1;MAGDALENA;COMPLETA;47.844106463878326;52.97718631178707;46.18631178707224;52.85551330798479;49.638783269961976;252.34220532319392
118;Estrato 1;MAGDALENA;MAÑANA;42.522954545454546;46.32568181818182;41.97954545454545;48.26704545454545;44.34522727272727;225.52204545454546
119;Estrato 1;MAGDALENA;NOCHE;36.891447368421055;38.639802631578945;36.63815789473684;42.86348684210526;38.30427631578947;194.89144736842104
120;Estrato 1;MAGDALENA;SABATINA;37.04494382022472;38.640449438202246;36.157303370786515;42.168539325842694;38.49438202247191;194.34831460674158
121;Estrato 1;MAGDALENA;TARDE;42.621212121212125;45.89685314685315;42.582750582750585;48.387529137529135;44.196969696969695;225.3420745920746
122;Estrato 1;MAGDALENA;UNICA;43.2653937947494;46.15847255369928;41.85393794749403;48.15704057279236;44.243436754176614;225.90453460620526
123;Estrato 1;META;COMPLETA;54.084210526315786;57.95789473684211;53.31578947368421;57.694736842105264;54.084210526315786;278.77894736842103
124;Estrato 1;META;MAÑANA;46.20083146786057;51.10681164055005;45.54653022065878;51.62647905340582;48.10777102654301;244.87975695554846
125;Estrato 1;META;NOCHE;39.80794701986755;43.17218543046358;40.40397350993378;45.264900662251655;41.94701986754967;211.93708609271522
126;Estrato 1;META;SABATINA;40.271099744245525;44.53964194373402;39.933503836317136;46.34782608695652;42.44501278772378;215.66751918158567
127;Estrato 1;META;TARDE;46.736749116607776;51.61484098939929;46.47173144876325;52.46819787985866;48.21378091872791;247.52296819787986
128;Estrato 1;META;UNICA;47.612057667103535;53.150720838794236;46.36828309305373;52.65792922673656;48.99082568807339;251.38532110091742
129;Estrato 1;NARIÑO;COMPLETA;66.25;63.75;65.5;62.75;65.25;322.75
130;Estrato 1;NARIÑO;MAÑANA;47.97460409424488;52.70384318269602;47.14822325222094;52.495268443414446;50.252414059482426;252.85602549246812
131;Estrato 1;NARIÑO;NOCHE;39.26844262295082;41.96516393442623;38.95286885245902;44.65983606557377;40.78073770491803;207.28688524590163
132;Estrato 1;NARIÑO;SABATINA;40.380116959064324;42.52046783625731;39.69005847953216;45.1578947368421;41.47076023391813;210.89473684210526
133;Estrato 1;NARIÑO;TARDE;47.64068589243959;52.32501948558067;47.679657053780204;52.3975058456742;49.67030397505846;251.4489477786438
134;Estrato 1;NARIÑO;UNICA;47.872765509989485;52.80336487907466;46.75078864353312;52.76235541535226;49.94216614090431;252.62881177707675
135;Estrato 1;NORTE SANTANDER;COMPLETA;48.01476014760148;53.45387453874539;48.14391143911439;52.751537515375155;51.17220172201722;255.49815498154982
136;Estrato 1;NORTE SANTANDER;MAÑANA;47.613434043701105;53.476665767466955;47.60803884542757;53.146749393040196;50.3166981386566;254.3377394119234
137;Estrato 1;NORTE SANTANDER;NOCHE;40.774358974358975;44.78974358974359;41.687179487179485;46.01538461538462;41.753846153846155;216.01538461538462
138;Estrato 1;NORTE SANTANDER;SABATINA;40.679715302491104;43.72597864768683;39.52313167259786;46.256227758007114;42.50889679715303;215.01423487544483
139;Estrato 1;NORTE SANTANDER;TARDE;50.484652665589664;56.55088852988691;50.623586429725364;55.878836833602584;53.24232633279483;268.89337641357025
140;Estrato 1;NORTE SANTANDER;UNICA;47.74785946265131;52.62592264540891;45.806613522291116;52.47150870977266;49.173604960141716;250.72040153528195
141;Estrato 1;PUTUMAYO;COMPLETA;46.24107142857143;49.785714285714285;44.830357142857146;50.5;47.375;240.97321428571428
142;Estrato 1;PUTUMAYO;MAÑANA;47.74404460212874;53.19665484034465;47.24581855043082;52.92093258996452;49.893563101875316;253.27622909275215
143;Estrato 1;PUTUMAYO;NOCHE;40.560344827586206;41.974137931034484;39.991379310344826;44.96551724137931;42.293103448275865;211.25862068965517
144;Estrato 1;PUTUMAYO;SABATINA;39.979166666666664;42.752604166666664;38.736979166666664;44.700520833333336;41.083333333333336;209.34635416666666
145;Estrato 1;PUTUMAYO;TARDE;52.733333333333334;56.4;47.06666666666667;57.6;54.666666666666664;273.6
146;Estrato 1;PUTUMAYO;UNICA;46.782493368700266;50.6657824933687;44.57957559681697;51.389920424403186;47.59814323607427;243.81432360742704
147;Estrato 1;QUINDIO;COMPLETA;67.75;66.875;69.0;65.625;62.75;330.25
148;Estrato 1;QUINDIO;MAÑANA;48.3232104121475;53.273318872017356;49.78958785249458;54.143167028199564;49.963123644251624;256.51409978308027
149;Estrato 1;QUINDIO;NOCHE;41.42857142857143;42.60204081632653;40.51020408163265;46.61224489795919;41.90816326530612;214.72448979591837
150;Estrato 1;QUINDIO;SABATINA;39.961218836565095;41.70360110803324;40.67313019390582;45.32686980609418;40.45983379501385;208.8725761772853
151;Estrato 1;QUINDIO;TARDE;49.371428571428574;52.94285714285714;50.4;53.142857142857146;53.65714285714286;260.6857142857143
152;Estrato 1;QUINDIO;UNICA;46.89680144840072;50.55763427881714;47.056729028364515;52.23295111647556;47.63427881713941;245.7700663850332
153;Estrato 1;RISARALDA;COMPLETA;46.3109756097561;49.4390243902439;47.6219512195122;52.15243902439025;47.359756097560975;243.609756097561
154;Estrato 1;RISARALDA;MAÑANA;47.22865013774105;50.62920110192837;47.57575757575758;52.32892561983471;48.6831955922865;247.76308539944904
155;Estrato 1;RISARALDA;NOCHE;39.94444444444444;42.53846153846154;39.63247863247863;45.79059829059829;41.44444444444444;211.06410256410257
156;Estrato 1;RISARALDA;SABATINA;40.212885154061624;41.70868347338936;40.32773109243698;45.44257703081232;41.10644257703081;209.90196078431373
157;Estrato 1;RISARALDA;TARDE;47.35126582278481;50.639240506329116;48.50632911392405;52.04430379746835;48.53481012658228;247.7753164556962
