;FAMI_ESTRATOVIVIENDA;ESTU_DEPTO_RESIDE;FAMI_TIENEINTERNET;PUNT_SOCIALES_CIUDADANAS;PUNT_MATEMATICAS;PUNT_INGLES;PUNT_LECTURA_CRITICA;PUNT_C_NATURALES;PUNT_GLOBAL
98;Estrato 2;CORDOBA;No;42.18517179023508;46.48969258589512;43.26365280289331;48.65895117540687;45.282097649186255;227.34466546112117
99;Estrato 2;CORDOBA;Si;49.742285714285714;53.401428571428575;50.848571428571425;54.78742857142857;51.590857142857146;261.3117142857143
100;Estrato 2;CUNDINAMARCA;No;46.42666044485923;51.223207341732774;45.996422460724844;51.67568828744751;48.16643334888785;245.56758438326335
101;Estrato 2;CUNDINAMARCA;Si;49.8388719238369;54.171366984012934;49.75360756840908;54.47081013112987;50.76582240584396;260.5761331656787
102;Estrato 2;EXTRANJERO;Si;40.5;53.5;46.0;49.5;52.5;244.0
103;Estrato 2;GUAINIA;No;47.294117647058826;52.07843137254902;45.705882352941174;51.78431372549019;48.490196078431374;247.94117647058823
104;Estrato 2;GUAINIA;Si;50.47826086956522;56.26086956521739;51.608695652173914;55.17391304347826;51.869565217391305;266.54347826086956
105;Estrato 2;GUAVIARE;No;43.0939226519337;48.51381215469613;42.88397790055249;49.27624309392265;46.54696132596685;232.77900552486187
106;Estrato 2;GUAVIARE;Si;48.7379679144385;53.283422459893046;47.080213903743314;53.36363636363637;49.45454545454545;254.44385026737967
107;Estrato 2;HUILA;No;46.34088927637315;51.01133391455972;45.744551002615516;51.56146469049695;48.65387968613775;245.55579773321708
108;Estrato 2;HUILA;Si;50.69561961812055;54.92306252339947;50.78023212280045;55.023025084238114;52.098839385997756;264.9971920628978
109;Estrato 2;LA GUAJIRA;No;42.22010662604722;45.89185072353389;42.01980198019802;47.977913175932976;44.043412033511046;224.008377760853
110;Estrato 2;LA GUAJIRA;Si;47.52787258248009;51.48805460750853;47.274175199089875;52.491467576791806;48.653583617747444;249.1433447098976
111;Estrato 2;MAGDALENA;No;40.904071127749184;44.61300889096865;41.17080018717829;46.72391202620496;42.90032756200281;217.91717360786149
112;Estrato 2;MAGDALENA;Si;45.856053384175404;49.35907213218939;46.08420718144264;51.158881474420085;46.906577693040994;240.73911661900223
113;Estrato 2;META;No;44.83514211886305;50.00361757105943;44.684754521963825;50.975710594315245;47.069250645994835;239.74418604651163
114;Estrato 2;META;Si;48.08642251004913;53.08932559178204;48.110317105850825;53.5218847699866;49.582849486377846;254.21750781598928
115;Estrato 2;NARIÑO;No;45.48069852941177;50.177389705882355;45.595588235294116;50.79319852941177;48.2077205882353;242.15579044117646
116;Estrato 2;NARIÑO;Si;52.08040455120101;56.64551201011378;52.42503160556258;56.25385587863464;53.98786346396966;272.81542351453857
