ANIO;FAMI_EDUCACION;PUNT_MATEMATICAS;PUNT_INGLES;PUNT_LECTURA_CRITICA;PUNT_C_NATURALES;PUNT_GLOBAL;PADRE
20161;Educación profesional incompleta;68.1201044386423;69.51697127937337;60.530026109660575;65.24804177545693;325.12271540469976;papa
20161;Ninguno;59.5625;61.421875;56.7890625;58.8828125;292.4609375;papa
20161;No sabe;62.943699731903486;65.6916890080429;58.43163538873995;61.806970509383376;307.0402144772118;papa
20161;Postgrado;76.95306859205776;83.73357400722021;65.0115523465704;71.42418772563177;359.54765342960286;papa
20161;Primaria completa;54.82954545454545;54.84090909090909;53.52840909090909;55.41477272727273;271.79545454545456;papa
20161;Primaria incompleta;54.55797101449275;56.53623188405797;54.427536231884055;55.65942028985507;273.42028985507244;papa
20161;Secundaria (Bachillerato) completa;58.670363524337645;59.96549599507085;56.2969808995687;58.25077017868146;288.85335797905117;papa
20161;Secundaria (Bachillerato) incompleta;58.18048780487805;58.50731707317073;55.73170731707317;58.673170731707316;287.0560975609756;papa
20161;Técnica o tecnológica completa;63.41708043694141;64.37140019860973;58.406156901688185;61.92651439920556;307.0198609731877;papa
20161;Técnica o tecnológica incompleta;59.81868131868132;61.51648351648352;56.57692307692308;59.71978021978022;293.3131868131868;papa
20162;Educación profesional completa;59.00391853707949;62.24966679106467;59.366956336301115;59.33291571146772;296.38574932025375;papa
20162;Educación profesional incompleta;59.53061224489796;61.854503870513724;59.68455313159747;59.669422941590426;298.030436312456;papa
20162;Ninguno;46.23278138754978;47.63366170614127;49.19861664221337;49.01634877384196;239.09197233284428;papa
20162;No sabe;50.391146268363386;51.813098806072816;52.495356949835404;52.314990419102834;257.1207684370854;papa
20162;Postgrado;65.00874423123634;70.07699781394219;63.62266213262084;64.23099344182657;323.01287345154236;papa
20162;Primaria completa;48.2835624252961;48.72445126589156;50.388623275019015;50.57903672715419;246.40683744431163;papa
20162;Primaria incompleta;47.19827616700664;47.688377686856654;49.60032307129971;49.78944948178892;241.98902265036375;papa
20162;Secundaria (Bachillerato) completa;52.04914282841486;53.071799641378846;53.650763326797716;53.51682502974545;263.61161664404335;papa
20162;Secundaria (Bachillerato) incompleta;50.120710480673935;50.73115398909812;51.878066154608526;51.874349603567886;254.2017003221011;papa
20162;Técnica o tecnológica completa;56.29653502368149;57.86916420355401;57.17581282717852;57.075032940422346;283.36163242049787;papa
20162;Técnica o tecnológica incompleta;54.030049647243274;55.51306506401881;55.408413901228116;55.127776326104;273.17193624248756;papa
20171;Educación profesional completa;64.31357454452143;73.34898639979471;63.79958942776495;64.32691814216064;323.40826276623045;papa
20171;Educación profesional incompleta;62.58467741935484;69.75604838709677;62.582661290322584;63.141129032258064;315.8709677419355;papa
20171;Ninguno;52.18181818181818;52.11363636363637;53.09090909090909;51.29545454545455;261.47727272727275;papa
20171;No Aplica;59.28;65.672;60.472;61.32;303.192;papa
20171;No sabe;59.493975903614455;65.68846815834767;60.38037865748709;61.18072289156626;302.66609294320136;papa
20171;Postgrado;69.36191626409018;81.05354267310788;67.30434782608695;68.75523349436394;347.3490338164251;papa
20171;Primaria completa;52.83050847457627;53.61581920903955;55.23728813559322;54.40112994350282;269.5367231638418;papa
20171;Primaria incompleta;54.09452736318408;54.885572139303484;55.97014925373134;55.41293532338308;275.05970149253733;papa
20171;Secundaria (Bachillerato) completa;56.04591104734577;59.3909612625538;57.677187948350074;57.55236728837877;285.28694404591107;papa
20171;Secundaria (Bachillerato) incompleta;57.075581395348834;60.30232558139535;58.19961240310077;57.87015503875969;288.484496124031;papa
20171;Técnica o tecnológica completa;58.6269744835966;61.89671931956258;59.921020656136086;60.06196840826245;298.1263669501823;papa
20171;Técnica o tecnológica incompleta;56.12568306010929;58.80327868852459;58.09289617486339;57.431693989071036;286.07103825136613;papa
20172;Educación profesional completa;56.80052533598551;58.06849769209191;58.5303853313952;56.812536658761125;286.051845051386;papa
20172;Educación profesional incompleta;56.6528706479133;56.76320036891861;58.452155868111596;56.40834678349089;284.74959649527324;papa
20172;Ninguno;43.2110958218664;43.20446584938704;48.0161996497373;45.47704528396297;225.89742306730048;papa
20172;No Aplica;52.21046198973356;51.03471033977023;55.03837692495722;53.029332681495966;265.1158640919091;papa
20172;No sabe;51.73310877749158;51.37004160887656;54.57071527640182;52.90703388151377;262.95502278581336;papa
20172;Postgrado;64.02916205241786;66.91189860957303;63.839916328288425;62.7974652393257;318.75169189122676;papa
