ANIO;ESTU_DEPTO_RESIDE;PUNT_MATEMATICAS;PUNT_INGLES;PUNT_LECTURA_CRITICA;PUNT_C_NATURALES;PUNT_GLOBAL
20192;SANTANDER;56.24904575163399;52.04329411764706;55.95257516339869;53.07058823529412;268.87890196078433
20192;SUCRE;49.59007279947055;46.45771012574454;51.35459960291198;48.440900066181335;242.07663798808736
20192;TOLIMA;50.49935191186001;48.12799740764744;51.99554439403759;48.29439403758912;245.7404406999352
20192;VALLE;50.359704946485394;48.86874457622216;52.69377350303731;48.60193086491177;247.5473315013017
20192;VAUPES;43.70192307692308;42.45192307692308;45.75961538461539;42.45673076923077;215.66826923076923
20192;VICHADA;47.86416184971098;43.53757225433526;49.407514450867055;46.75433526011561;233.9335260115607
20201;ANTIOQUIA;57.496659242761694;69.40089086859689;57.84187082405345;54.41425389755011;283.84409799554567
20201;ARAUCA;45.285714285714285;42.42857142857143;48.142857142857146;44.142857142857146;226.28571428571428
20201;ATLANTICO;64.12101910828025;79.0;63.56369426751592;61.3312101910828;317.9968152866242
20201;BOGOTÁ;64.06586826347305;74.39782934131736;63.0310628742515;60.40718562874252;314.7761976047904
20201;BOLIVAR;67.92356687898089;80.38216560509554;67.14012738853503;64.77707006369427;336.96178343949043
20201;BOYACA;51.32;48.32;52.7;49.56;249.88
20201;CALDAS;65.28;73.992;62.736;60.664;316.512
20201;CAQUETA;35.10526315789474;34.578947368421055;41.8421052631579;36.26315789473684;187.47368421052636
20201;CASANARE;46.142857142857146;49.42857142857143;48.0;46.285714285714285;230.14285714285717
20201;CAUCA;61.423828125;62.041015625;60.904296875;58.455078125;297.625
20201;CESAR;54.35384615384616;59.90769230769231;55.84615384615385;51.4;269.0615384615385
20201;CHOCO;70.0;80.0;68.0;63.0;327.0
20201;CORDOBA;59.354838709677416;72.70967741935483;64.87096774193549;59.41935483870968;307.1935483870968
20201;CUNDINAMARCA;59.96590909090909;67.71136363636364;60.33181818181818;57.36818181818182;295.9159090909091
20201;GUAINIA;62.0;43.0;57.0;58.0;288.0
20201;HUILA;46.0;47.125;51.9375;45.4375;236.1875
20201;LA GUAJIRA;61.91428571428571;72.05714285714286;59.62857142857143;58.71428571428572;300.4
20201;MAGDALENA;55.78787878787879;65.12121212121212;58.87878787878788;51.121212121212125;278.3030303030303
20201;META;42.266666666666666;40.66666666666666;44.8;43.0;211.26666666666668
20201;NARIÑO;60.13370473537604;60.448467966573816;59.94428969359331;57.61559888579387;293.6657381615599
20201;NORTE SANTANDER;45.75;42.66666666666666;46.7;43.13333333333333;222.5
20201;PUTUMAYO;30.0;43.0;42.0;36.0;178.0
20201;QUINDIO;68.90243902439025;82.41463414634147;68.46341463414635;63.65853658536585;341.0
20201;RISARALDA;61.00657894736842;69.6842105263158;61.61184210526316;57.526315789473685;300.7236842105263
20201;SANTANDER;67.18604651162791;73.76744186046511;64.44186046511628;62.99224806201551;324.52713178294573
20201;TOLIMA;43.785714285714285;42.0;48.21428571428572;41.71428571428572;219.0
20201;VALLE;59.5105098855359;64.83975026014568;60.46285119667014;57.40166493236213;294.37981269510925
20202;AMAZONAS;46.62878787878788;43.76515151515152;48.583333333333336;44.843434343434346;229.7651515151515
20202;ANTIOQUIA;50.59262182631411;47.14139933472402;52.6082764841856;47.467384563342165;248.10464001804135
20202;ARAUCA;50.64544265154819;44.95464457043175;50.967291757522894;47.68338421282163;243.2080244221544
20202;ATLANTICO;51.338746647159226;48.232089734211165;52.39478176054621;48.25774201414289;249.4383321141185
20202;BOGOTÁ;55.57047842320048;51.938768776591125;55.91223408873839;52.35743683250847;270.1837978640271
20202;BOLIVAR;47.61783892776658;44.70543233305658;49.32736330209939;45.197544775234256;232.69505396750088
20202;BOYACA;54.57926780421373;48.15917648001282;54.01474004646319;51.33373387807418;261.9327885924858
20202;CALDAS;51.556482183472326;47.576699519838265;52.957669951983824;49.5107404599444;252.8582259287339
20202;CAQUETA;49.64684152198005;44.71074990764684;50.51533062430735;46.63649796823052;240.18581455485776
20202;CASANARE;52.21366459627329;46.35900621118012;52.18633540372671;48.92298136645963;250.26807453416149
20202;CAUCA;48.75972866833274;43.94561466143044;49.72902534808997;46.42508627870998;236.73426157324764
20202;CESAR;50.107592143014784;45.79529905098212;51.21529463694549;47.74597219156919;243.82101081438972
20202;CHOCO;44.12521440823328;42.838078902229846;45.92933104631218;41.48130360205832;215.8391080617496
20202;CORDOBA;49.25670087302803;45.41131873181192;50.77255322407719;47.32309695206004;240.86866288865065
20202;CUNDINAMARCA;53.419759195117926;48.03842982022101;53.75519544779812;50.0711693880917;257.8391472868217
20202;EXTRANJERO;52.61111111111112;47.333333333333336;50.27777777777778;48.05555555555556;246.0
20202;GUAINIA;49.27472527472528;44.70879120879121;47.82967032967033;45.434065934065934;232.8131868131868
20202;GUAVIARE;49.9054054054054;43.00579150579151;49.40926640926641;46.34942084942085;236.8629343629344
20202;HUILA;52.82836587872559;47.32945072513418;53.28400137033231;49.9133264816718;254.87392942788625
20202;LA GUAJIRA;47.497207818109295;43.12285600319107;48.60510570402872;44.97586757080175;230.4425608296769
20202;MAGDALENA;46.725;43.59444444444444;48.51676587301587;44.78353174603175;229.26378968253968
20202;META;52.51729978224051;47.01185579482216;52.784055165739176;49.10742801838858;252.18255504476167
20202;NARIÑO;52.34866392600205;46.815690304898936;52.51610140459061;49.88429256594724;252.77141144227477
20202;NORTE SANTANDER;54.35437792081827;48.584163653998765;53.99797196014461;51.06348646503836;260.4638038973636
