;FAMI_ESTRATOVIVIENDA;ESTU_DEPTO_RESIDE;FAMI_TIENELAVADORA;PUNT_SOCIALES_CIUDADANAS;PUNT_MATEMATICAS;PUNT_INGLES;PUNT_LECTURA_CRITICA;PUNT_C_NATURALES;PUNT_GLOBAL
142;Estrato 3;ANTIOQUIA;Si;50.67900291120815;53.35305676855895;51.79650655021834;55.391703056768556;50.239592430858806;261.8386826783115
143;Estrato 3;ARAUCA;No;42.17910447761194;47.04477611940298;43.26865671641791;47.56716417910448;43.985074626865675;225.23880597014926
144;Estrato 3;ARAUCA;Si;45.81049562682216;51.83090379008746;47.481049562682216;51.53644314868804;48.51020408163265;246.3615160349854
145;Estrato 3;ATLANTICO;No;46.590649942987454;50.85974914481186;48.818700114025084;52.36944127708096;48.04218928164196;247.0855188141391
146;Estrato 3;ATLANTICO;Si;49.78401909844123;53.4875719702289;53.46903524785845;54.90858025558208;51.00898750175537;261.9314702991153
147;Estrato 3;BOGOTA;No;43.47826086956522;45.52173913043478;44.08695652173913;51.130434782608695;45.43478260869565;231.08695652173913
148;Estrato 3;BOGOTA;Si;51.18971061093247;53.61897106109325;56.437299035369776;55.38585209003215;52.11736334405145;266.68167202572346
149;Estrato 3;BOGOTÁ;No;49.47218259629101;53.031383737517835;49.773656680932;54.0941512125535;50.00523062291964;257.53827864954826
150;Estrato 3;BOGOTÁ;Si;53.726764808160425;57.2490552915266;55.95136200301379;57.51482554769908;54.206166685985856;278.4766662802828
151;Estrato 3;BOLIVAR;No;42.00772200772201;45.87065637065637;44.02509652509652;47.922779922779924;43.78378378378378;224.13127413127413
152;Estrato 3;BOLIVAR;Si;46.922007386487074;50.32109493808386;48.93786660873344;52.249619813165324;48.15098848577015;246.87399522050836
153;Estrato 3;BOYACA;No;47.59217877094972;52.299813780260706;47.73929236499069;51.88268156424581;49.3463687150838;250.42644320297953
154;Estrato 3;BOYACA;Si;53.99211742321283;58.34873606958413;54.85675455286763;57.58874694210383;54.84343571622723;280.45392769774395
155;Estrato 3;CALDAS;No;46.14414414414414;48.33633633633634;46.5945945945946;51.11711711711712;47.33933933933934;240.5105105105105
156;Estrato 3;CALDAS;Si;51.682867883995705;55.18018259935553;52.6640708915145;55.9078947368421;52.88399570354458;269.0816326530612
157;Estrato 3;CAQUETA;No;43.81060606060606;47.49242424242424;44.54545454545455;48.34090909090909;45.128787878787875;230.36363636363637
158;Estrato 3;CAQUETA;Si;48.399598393574294;52.118473895582326;48.80722891566265;53.0722891566265;49.303212851405625;252.8734939759036
159;Estrato 3;CASANARE;No;45.08888888888889;49.67407407407408;45.63703703703704;50.02962962962963;46.074074074074076;237.74814814814815
160;Estrato 3;CASANARE;Si;49.99228791773779;54.897172236503856;51.72879177377892;54.89203084832905;51.2146529562982;263.353470437018
161;Estrato 3;CAUCA;No;42.42377622377622;46.2993006993007;43.13846153846154;48.086713286713284;44.815384615384616;226.15524475524475
162;Estrato 3;CAUCA;Si;50.63021148036254;54.67552870090634;52.102114803625376;55.41450151057402;52.36616314199396;265.91117824773414
163;Estrato 3;CESAR;No;46.43666666666667;50.596666666666664;47.916666666666664;51.97666666666667;47.85333333333333;245.59666666666666
164;Estrato 3;CESAR;Si;49.11625344352617;52.796694214876034;51.50137741046832;53.841322314049584;50.75592286501377;258.08154269972454
165;Estrato 3;CHOCO;No;37.475247524752476;40.15841584158416;39.84158415841584;42.08910891089109;38.039603960396036;197.35643564356437
166;Estrato 3;CHOCO;Si;40.258252427184466;44.05825242718446;42.65631067961165;46.227184466019416;41.324271844660196;214.72621359223302
167;Estrato 3;CORDOBA;No;42.342007434944236;46.14869888475837;43.66171003717472;48.89591078066915;44.48327137546468;226.66171003717471
168;Estrato 3;CORDOBA;Si;46.999489795918365;50.678061224489795;49.438265306122446;52.26887755102041;49.27040816326531;248.87091836734695
169;Estrato 3;CUNDINAMARCA;No;47.69865470852018;51.2017937219731;47.37757847533632;52.58565022421525;48.58116591928251;249.07713004484305
170;Estrato 3;CUNDINAMARCA;Si;51.2487062882233;54.91077309079505;52.298416183158224;55.49443311902149;51.81872353771366;266.43390308922693
171;Estrato 3;EXTRANJERO;No;47.0;45.0;47.0;54.0;45.0;238.0
172;Estrato 3;EXTRANJERO;Si;37.666666666666664;44.333333333333336;52.333333333333336;41.666666666666664;44.666666666666664;214.33333333333334
173;Estrato 3;GUAINIA;No;39.8;41.6;42.7;45.5;39.1;208.0
174;Estrato 3;GUAINIA;Si;51.76;57.44;50.64;51.88;53.44;267.08
175;Estrato 3;GUAVIARE;No;39.73913043478261;45.391304347826086;38.0;44.69565217391305;42.34782608695652;213.30434782608697
176;Estrato 3;GUAVIARE;Si;45.59770114942529;49.47126436781609;44.51724137931034;49.08045977011494;46.64367816091954;237.32183908045977
177;Estrato 3;HUILA;No;43.65196078431372;48.89705882352941;45.088235294117645;49.588235294117645;46.21078431372549;234.69117647058823
178;Estrato 3;HUILA;Si;52.09879336349925;56.33107088989442;53.74585218702866;56.633484162895925;53.5316742081448;272.89291101055807
179;Estrato 3;LA GUAJIRA;No;40.487272727272725;44.21454545454545;41.72;46.403636363636366;41.93818181818182;215.73818181818183
180;Estrato 3;LA GUAJIRA;Si;45.37137330754352;49.695357833655706;46.74758220502901;50.72147001934236;47.321083172147;240.79593810444874
181;Estrato 3;MAGDALENA;No;42.96162528216704;46.37697516930022;43.8510158013544;48.627539503386004;43.94356659142212;226.76975169300226
